id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
3.0,6,38,2,-34.611032,-58.3682604,0.0
3.0,6,38,3,-34.611032,-58.3682604,0.0
3.0,6,38,4,-34.611032,-58.3682604,1.0
3.0,6,38,5,-34.611032,-58.3682604,0.0
3.0,6,38,6,-34.611032,-58.3682604,0.0
3.0,7,38,0,-34.611032,-58.3682604,3.0
3.0,7,38,1,-34.611032,-58.3682604,2.0
3.0,7,38,2,-34.611032,-58.3682604,3.0
3.0,7,38,3,-34.611032,-58.3682604,3.0
3.0,7,38,4,-34.611032,-58.3682604,2.0
3.0,7,38,5,-34.611032,-58.3682604,0.0
3.0,7,38,6,-34.611032,-58.3682604,1.0
3.0,8,38,0,-34.611032,-58.3682604,6.0
3.0,8,38,1,-34.611032,-58.3682604,2.0
3.0,8,38,2,-34.611032,-58.3682604,1.0
3.0,8,38,3,-34.611032,-58.3682604,3.0
3.0,8,38,4,-34.611032,-58.3682604,2.0
3.0,8,38,5,-34.611032,-58.3682604,0.0
3.0,8,38,6,-34.611032,-58.3682604,0.0
3.0,9,38,0,-34.611032,-58.3682604,5.0
3.0,9,38,1,-34.611032,-58.3682604,4.0
3.0,9,38,2,-34.611032,-58.3682604,3.0
3.0,9,38,3,-34.611032,-58.3682604,0.0
3.0,9,38,4,-34.611032,-58.3682604,2.0
3.0,9,38,5,-34.611032,-58.3682604,0.0
3.0,9,38,6,-34.611032,-58.3682604,0.0
3.0,10,38,0,-34.611032,-58.3682604,3.0
3.0,10,38,1,-34.611032,-58.3682604,4.0
3.0,10,38,2,-34.611032,-58.3682604,3.0
3.0,10,38,3,-34.611032,-58.3682604,2.0
3.0,10,38,4,-34.611032,-58.3682604,1.0
3.0,10,38,5,-34.611032,-58.3682604,0.0
3.0,10,38,6,-34.611032,-58.3682604,1.0
3.0,11,38,0,-34.611032,-58.3682604,1.0
3.0,11,38,1,-34.611032,-58.3682604,2.0
3.0,11,38,2,-34.611032,-58.3682604,2.0
3.0,11,38,3,-34.611032,-58.3682604,1.0
3.0,11,38,4,-34.611032,-58.3682604,2.0
3.0,11,38,5,-34.611032,-58.3682604,0.0
3.0,11,38,6,-34.611032,-58.3682604,1.0
3.0,12,38,0,-34.611032,-58.3682604,0.0
3.0,12,38,1,-34.611032,-58.3682604,0.0
3.0,12,38,2,-34.611032,-58.3682604,3.0
3.0,12,38,3,-34.611032,-58.3682604,2.0
3.0,12,38,4,-34.611032,-58.3682604,1.0
3.0,12,38,5,-34.611032,-58.3682604,0.0
3.0,13,38,0,-34.611032,-58.3682604,0.0
3.0,13,38,1,-34.611032,-58.3682604,0.0
3.0,13,38,2,-34.611032,-58.3682604,0.0
3.0,13,38,3,-34.611032,-58.3682604,1.0
3.0,13,38,4,-34.611032,-58.3682604,2.0
3.0,13,38,5,-34.611032,-58.3682604,0.0
3.0,14,38,0,-34.611032,-58.3682604,1.0
3.0,14,38,1,-34.611032,-58.3682604,0.0
3.0,14,38,2,-34.611032,-58.3682604,0.0
3.0,14,38,3,-34.611032,-58.3682604,0.0
3.0,14,38,4,-34.611032,-58.3682604,0.0
3.0,14,38,5,-34.611032,-58.3682604,0.0
3.0,15,38,0,-34.611032,-58.3682604,0.0
3.0,15,38,1,-34.611032,-58.3682604,0.0
3.0,15,38,2,-34.611032,-58.3682604,0.0
3.0,15,38,3,-34.611032,-58.3682604,0.0
3.0,15,38,4,-34.611032,-58.3682604,0.0
3.0,15,38,5,-34.611032,-58.3682604,0.0
3.0,16,38,0,-34.611032,-58.3682604,0.0
3.0,16,38,1,-34.611032,-58.3682604,0.0
3.0,16,38,2,-34.611032,-58.3682604,0.0
3.0,16,38,3,-34.611032,-58.3682604,1.0
3.0,16,38,4,-34.611032,-58.3682604,0.0
3.0,16,38,5,-34.611032,-58.3682604,1.0
3.0,17,38,0,-34.611032,-58.3682604,0.0
3.0,17,38,1,-34.611032,-58.3682604,0.0
3.0,17,38,2,-34.611032,-58.3682604,0.0
3.0,17,38,3,-34.611032,-58.3682604,0.0
3.0,17,38,4,-34.611032,-58.3682604,0.0
3.0,17,38,5,-34.611032,-58.3682604,0.0
3.0,18,38,0,-34.611032,-58.3682604,0.0
3.0,18,38,1,-34.611032,-58.3682604,0.0
3.0,18,38,2,-34.611032,-58.3682604,0.0
3.0,18,38,3,-34.611032,-58.3682604,0.0
3.0,18,38,4,-34.611032,-58.3682604,0.0
3.0,18,38,5,-34.611032,-58.3682604,0.0
3.0,19,38,0,-34.611032,-58.3682604,0.0
3.0,19,38,1,-34.611032,-58.3682604,0.0
3.0,19,38,2,-34.611032,-58.3682604,0.0
3.0,19,38,3,-34.611032,-58.3682604,0.0
3.0,19,38,4,-34.611032,-58.3682604,0.0
3.0,19,38,5,-34.611032,-58.3682604,1.0
3.0,20,38,0,-34.611032,-58.3682604,0.0
3.0,20,38,1,-34.611032,-58.3682604,0.0
3.0,20,38,2,-34.611032,-58.3682604,0.0
3.0,20,38,3,-34.611032,-58.3682604,0.0
